benefit_id,source_file,category,provider_or_retailer,item_or_event_name,target_platform,target_game,channel_type,benefit_type,benefit_value,benefit_unit,min_spend_krw,max_benefit_krw,min_prev_month_spend_krw,condition_type,is_first_purchase,requires_pre_app,payment_method_restriction,stacking_layer,user_segment,spend_exclusion_type,disbursement_type,is_first_come_first_served,is_tiered_limit,payment_route_type,is_probabilistic,denomination_list,start_date,end_date,source_url,condition_raw_text,content_hash,crawled_at,updated_at,is_active
BNF_STORE_ONESTORE_de144e4c,store_onestore,DISCOUNT_STORE,ONE_STORE,10초컷 50% 쿠폰[1차],ONE_STORE,10초컷,IN_APP,DISCOUNT,50.0,PERCENT,0,,,GENERAL,FALSE,FALSE,NONE,STORE_COUPON,ALL_USERS,NONE,COUPON_ISSUE,FALSE,FALSE,DIRECT_PAY,FALSE,,,2027-12-31,https://m.onestore.co.kr/osmp/onestore/cpnEvent.omp,"기간: 2027년 12월 31일까지 | SKT, KT, U+ 이동통신사와 알뜰폰 사용자에 한해 기간 내에 각 게임별 인당 1회 참여 가능합니다.",,,,
BNF_STORE_ONESTORE_113e6a23,store_onestore,DISCOUNT_STORE,ONE_STORE,10초컷 30% 쿠폰[2차],ONE_STORE,10초컷,IN_APP,DISCOUNT,30.0,PERCENT,0,,,GENERAL,FALSE,FALSE,NONE,STORE_COUPON,ALL_USERS,NONE,COUPON_ISSUE,FALSE,FALSE,DIRECT_PAY,FALSE,,,2027-12-31,https://m.onestore.co.kr/osmp/onestore/cpnEvent.omp,"기간: 2027년 12월 31일까지 | 추가 지급되는 쿠폰은 앞 차수 쿠폰을 사용한 ID기준으로 지급되며, 지급까지는 최대 2시간이 소요될 수 있습니다.",,,,
BNF_STORE_ONESTORE_9d3b4be3,store_onestore,DISCOUNT_STORE,ONE_STORE,블라이트 워 : 사후 처리국 50% 쿠폰[1차],ONE_STORE,블라이트 워 : 사후 처리국,IN_APP,DISCOUNT,50.0,PERCENT,0,,,GENERAL,FALSE,FALSE,NONE,STORE_COUPON,ALL_USERS,NONE,COUPON_ISSUE,FALSE,FALSE,DIRECT_PAY,FALSE,,,2026-12-31,https://m.onestore.co.kr/osmp/onestore/cpnEvent.omp,"기간: 2026년 12월 31일까지 | SKT, KT, U+ 이동통신사와 알뜰폰 사용자에 한해 기간 내에 각 게임별 인당 1회 참여 가능합니다.",,,,
BNF_STORE_ONESTORE_bc192534,store_onestore,DISCOUNT_STORE,ONE_STORE,블라이트 워 : 사후 처리국 30% 쿠폰[2차],ONE_STORE,블라이트 워 : 사후 처리국,IN_APP,DISCOUNT,30.0,PERCENT,0,,,GENERAL,FALSE,FALSE,NONE,STORE_COUPON,ALL_USERS,NONE,COUPON_ISSUE,FALSE,FALSE,DIRECT_PAY,FALSE,,,2026-12-31,https://m.onestore.co.kr/osmp/onestore/cpnEvent.omp,"기간: 2026년 12월 31일까지 | 추가 지급되는 쿠폰은 앞 차수 쿠폰을 사용한 ID기준으로 지급되며, 지급까지는 최대 2시간이 소요될 수 있습니다.",,,,
BNF_STORE_ONESTORE_24746b75,store_onestore,DISCOUNT_STORE,ONE_STORE,헬로 타운 50% 쿠폰[1차],ONE_STORE,헬로 타운,IN_APP,DISCOUNT,50.0,PERCENT,0,,,GENERAL,FALSE,FALSE,NONE,STORE_COUPON,ALL_USERS,NONE,COUPON_ISSUE,FALSE,FALSE,DIRECT_PAY,FALSE,,,2027-12-31,https://m.onestore.co.kr/osmp/onestore/cpnEvent.omp,"기간: 2027년 12월 31일까지 | SKT, KT, U+ 이동통신사와 알뜰폰 사용자에 한해 기간 내에 각 게임별 인당 1회 참여 가능합니다.",,,,
BNF_STORE_ONESTORE_f1ff8b7f,store_onestore,DISCOUNT_STORE,ONE_STORE,헬로 타운 50% 쿠폰[2차],ONE_STORE,헬로 타운,IN_APP,DISCOUNT,50.0,PERCENT,0,,,GENERAL,FALSE,FALSE,NONE,STORE_COUPON,ALL_USERS,NONE,COUPON_ISSUE,FALSE,FALSE,DIRECT_PAY,FALSE,,,2027-12-31,https://m.onestore.co.kr/osmp/onestore/cpnEvent.omp,"기간: 2027년 12월 31일까지 | 추가 지급되는 쿠폰은 앞 차수 쿠폰을 사용한 ID기준으로 지급되며, 지급까지는 최대 2시간이 소요될 수 있습니다.",,,,
BNF_STORE_ONESTORE_d2bd5827,store_onestore,DISCOUNT_STORE,ONE_STORE,드래곤 라이즈 50% 쿠폰[1차],ONE_STORE,드래곤 라이즈,IN_APP,DISCOUNT,50.0,PERCENT,0,,,GENERAL,FALSE,FALSE,NONE,STORE_COUPON,ALL_USERS,NONE,COUPON_ISSUE,FALSE,FALSE,DIRECT_PAY,FALSE,,,2026-12-31,https://m.onestore.co.kr/osmp/onestore/cpnEvent.omp,"기간: 2026년 12월 31일까지 | SKT, KT, U+ 이동통신사와 알뜰폰 사용자에 한해 기간 내에 각 게임별 인당 1회 참여 가능합니다.",,,,
BNF_STORE_ONESTORE_8b51b3ac,store_onestore,DISCOUNT_STORE,ONE_STORE,드래곤 라이즈 30% 쿠폰[2차],ONE_STORE,드래곤 라이즈,IN_APP,DISCOUNT,30.0,PERCENT,0,,,GENERAL,FALSE,FALSE,NONE,STORE_COUPON,ALL_USERS,NONE,COUPON_ISSUE,FALSE,FALSE,DIRECT_PAY,FALSE,,,2026-12-31,https://m.onestore.co.kr/osmp/onestore/cpnEvent.omp,"기간: 2026년 12월 31일까지 | 추가 지급되는 쿠폰은 앞 차수 쿠폰을 사용한 ID기준으로 지급되며, 지급까지는 최대 2시간이 소요될 수 있습니다.",,,,
BNF_STORE_ONESTORE_f5344d44,store_onestore,DISCOUNT_STORE,ONE_STORE,머지 스위츠 50% 쿠폰[1차],ONE_STORE,머지 스위츠,IN_APP,DISCOUNT,50.0,PERCENT,0,,,GENERAL,FALSE,FALSE,NONE,STORE_COUPON,ALL_USERS,NONE,COUPON_ISSUE,FALSE,FALSE,DIRECT_PAY,FALSE,,,2027-12-31,https://m.onestore.co.kr/osmp/onestore/cpnEvent.omp,"기간: 2027년 12월 31일까지 | SKT, KT, U+ 이동통신사와 알뜰폰 사용자에 한해 기간 내에 각 게임별 인당 1회 참여 가능합니다.",,,,
BNF_STORE_ONESTORE_7e55d73c,store_onestore,DISCOUNT_STORE,ONE_STORE,머지 스위츠 30% 쿠폰[2차],ONE_STORE,머지 스위츠,IN_APP,DISCOUNT,30.0,PERCENT,0,,,GENERAL,FALSE,FALSE,NONE,STORE_COUPON,ALL_USERS,NONE,COUPON_ISSUE,FALSE,FALSE,DIRECT_PAY,FALSE,,,2027-12-31,https://m.onestore.co.kr/osmp/onestore/cpnEvent.omp,"기간: 2027년 12월 31일까지 | 추가 지급되는 쿠폰은 앞 차수 쿠폰을 사용한 ID기준으로 지급되며, 지급까지는 최대 2시간이 소요될 수 있습니다.",,,,
